tw,ch,en
普通法妻子,普通法妻子,common law wife
就被告人的品格作出全面指引,就被告人的品格作出全面指引,full character direction
混合書面供詞,混合书面供词,mixed deposition
串謀以欺騙手段促致有價產權書的簽立,串谋以欺骗手段促致有价产权书的签立,conspiracy to procure the execution of valuable securities by deception
監管令,监管令,supervision order
純粹管有,纯粹管有,simple possession
控方重開案件提證,控方重开案件提证,re-open the prosecution case
總刑罰,总刑罚,aggregate sentence
強行干預訴訟,强行干预诉讼,maintenance
直接證據,直接证据,direct evidence
行政機關給予赦免,行政机关给予赦免,executive clemency
對公眾良知的公然冒犯,对公众良知的公然冒犯,affront to the public conscience
不誠實地意圖導致他人蒙受損失,不诚实地意图导致他人蒙受损失,dishonest intent to cause loss to another
客觀的認知,客观的认知,objective knowledge
同案被告,同案被告,co-accused
答辯日,答辩日,plea day
評定是否知情的標準,评定是否知情的标准,test of knowledge
法律漏洞,法律漏洞,lacuna
精神報告,精神报告,psychiatric report
行政酌情決定,行政酌情决定,executive discretion
單一犯罪者,单一犯罪者,sole perpetrator
在官方機構看管下,在官方机构看管下,in official custody
有罪證明,有罪证明,proof of guilt
整體量刑起點,整体量刑起点,global starting point
在替自己辯護時作供,在替自己辩护时作供,testify in one's own defence
暫時吊銷牌照期,暂时吊销牌照期,period of suspension
財務權益,财务权益,financial interests
上訴的訟費,上诉的讼费,costs on appeal
標準的指引,标准的指引,standard direction
監禁管敎場所,监禁管教场所,penal institution
公訴提控,公诉提控,arraignment
隱含風險,隐含风险,latent risk
申請覆核刑罰,申请复核刑罚,application ... for review of sentence
新近管有原則,新近管有原则,doctrine of recent possession
案件的基礎事實,案件的基础事实,primary facts of the case
未經彙報案例,未经汇报案例,unreported case
表面證據,表面证据,prima facie case
可予強迫的證人,可予强迫的证人,compellable witness
反駁,反驳,rebut
類似司法的職能,类似司法的职能,quasi-judicial function
證據總體,证据总体,totality of the evidence
還押羈留,还押羁留,remand in custody
互相矛盾的裁決,互相矛盾的裁决,inconsistent verdicts
